_GAMENAME|БЛОКПОСТ
_LANGUAGE_TRANSLATION|Lex
_LANGUAGE_NAME|БЕЛАРУСКАЯ
_BONUS_LEFT|ДА НАСТУПНАГА БОНУСА ЗАСТАЛОСЯ {0}г {1}хв
_DAY|ДЗЕНЬ
_COME_EVER_DAY|ЗАХОДЗЬЦЕ КОЖНЫ ДЗЕНЬ У ГУЛЬНЮ І АТРЫМЛІВАЙЦЕ БОНУС!
_CONTINUE|ПРАЦЯГНУЦЬ
_COLLECT|ЗАБРАЦЬ
_RECEIVED|ВЫ АТРЫМАЛІ
_REQUIRES_KEY|ПАТРАБУЕЦЦА КЛЮЧ
_GOTO_STORE|ПЕРАЙСЦІ ДА КРАМЫ
_USED_KEY|ВЫКАВЫСТОЎВАЕМЫ КЛЮЧ
_OPEN_CASE_EMUL|АДКРЫЦЬ СКРЫНЮ (ЭМУЛЯТАР)
_OPEN_CASE|АДКРЫЦЬ СКРЫНЮ
_SOLDIER|РАДАВЫ
_SERGEANT|СЯРЖАНТ
_COMMANDER|КАМАНДЗІР
_CAPTAIN|КАПІТАН
_LEAVE_CLAN|ПАКІНУЦЬ КЛАН
_LEAVE_CLAN_CONFIRM|ПАКІНУЦЬ КЛАН (ПАЦВЕРДЗІЦЬ)
_CANCEL|АДМЯНІЦЬ
_FIND_CLAN|ЗНАЙСЦІ КЛАН
_CREATE_CLAN|СТВАРЫЦЬ КЛАН
_LOOKFOR|ШУКАЦЬ
_SEARCH|ПОШУК...
_CLAN_NAME|НАЗВА КЛАНА
_PARTY|УДЗЕЛЬНІКІ
_FOUNDER|ЗАСНАВАЛЬНІК
_ADMISSION|ПРЫЁМ
_SUBMISSION_FOR_BID|ДЛЯ ПАДАЧЫ ЗАЯЎКІ Ў КЛАН НЕАБХОДНЫ 10 УЗРОВЕНЬ
_CLAN_NOT_ACCEPT|КЛАН НЕ ПРЫМАЕ ЗАЯЎКІ
_APPLY_TO_CLAN|ПАДАЦЬ ЗАЯЎКУ Ў КЛАН
_SEND|АДПРАВІЦЬ
_IS_OPEN|АДКРЫТЫ
_IS_CLOSE|ЗАКРЫТЫ
_SHOW_LAST_CLANS|ПАКАЗАНА 25 АПОШНІХ КЛАНАЎ
_REBUILD_CLAN|АДНАВІЦЬ КЛАН
_CREATURE|СТВАРЭННЕ...
_CLAN_CREATION_AVAILABLE|СТВАРЭННЕ КЛАНА ДАСТУПНА З 15 УЗРОЎНЯ
_ATTENTION_NAME|Увага: Імя можа ўтрымліваць літары рускага або англійскага алфавіту<br>Дазволена выкарыстоўваць лічбы і сімвалы '_' '.'<br>Даўжыня імя ад 3 да 16 сімвалаў
_NUMBER_POSTS|КОЛЬКАСЦЬ ПАВЕДАМЛЕННЯЎ:
_RENAME_CLAN|ПЕРАЙМЕНАВАЦЬ КЛАН
_CLAN_STATUS|СТАТУС КЛАНА
_CLAN_EXPANSION|ПАШЫРЭННЕ КЛАНА
_REMOVE_CLAN|ВЫДАЛІЦЬ КЛАН
_REMOVE_CLAN_CONFIRM|ВЫДАЛІЦЬ КЛАН (ПАЦВЕРДЗІЦЬ)
_AVAILABLE_RENAME|Даступных пераназванняў:
_RENAME|ПЕРАЙМЕНАВАЦЬ
_RETURN|ВЯРНУЦЦА
_CURRENT_STATUS_CLAN_OPEN|Бягучы статус клана <color=#FF0>адкрыты</color>
_CLAN_TAKES_APPLICATION|Клан прымае заяўкі на ўступленне
_CURRENT_STATUS_CLAN_CLOSE|Бягучы статус клана <color=#FF0>закрыты</color>
_CLAN_NOT_ACCEPT_APPLICATION|Клан не прымае заяўкі на ўступленне
_CHANGE_STATUS|ЗМЯНІЦЬ СТАТУС
_CURRENT_NUMBER_SLOTS|Бягучая колькасць слотаў <color=#FF0>
_YOUR_CLAN_MAXIMUM|<color=#0F0>Ваш клан дасягнуў максімуму - 200 слотаў</color>
_SLOTS_AFTER_EXPANSION|Слотаў пасля пашырэння
_MAXIMUM_200|(максімум 200)
_COST_OPERATION|Кошт дзеяння - 50 манет!
_PLACE_WEAPON_CASE|Змясціце 3 зброі для разбору <color=red>(незваротны працэс знішчэння)</color>, наўзамен вы атрымаеце асаблівую скрыню.
_PLACE_WEAPON_WEAPON|Змясціце 3 зброі для мадэрнізацыі <color=red>(незваротны працэс знішчэння)</color>, наўзамен вы атрымаеце мадэрнізаваную зброю.
_PLACE_CASE_2_COIN|Змясціце 1 скрыню для продажу <color=red>(незваротны працэс выдалення скрыні)</color>, наўзамен вы атрымаеце 2 манеты.
