_GAMENAME|BLOCKPOST
_LANGUAGE_TRANSLATION|von ererbe
_LANGUAGE_NAME|DEUTSCH
_BONUS_LEFT|VERBLEIBEND BIS NÄCHSTER BONUS {0}h {1}m
_DAY|Tag
_COME_EVER_DAY|LOGGE DICH JEDEN TAG FÜR BONI IN DAS SPIEL EIN!
_CONTINUE|FORTFAHREN
_COLLECT|SAMMELN
_RECEIVED|DU HAST ERHALTEN
_REQUIRES_KEY|SCHLÜSSEL ERFORDERLICH
_GOTO_STORE|GEHE ZUM LADEN
_USED_KEY|SCHLÜSSEL BENUTZT
_OPEN_CASE_EMUL|KISTE ÖFFNEN (EMULATOR)
_OPEN_CASE|KISTE ÖFFNEN
_SOLDIER|SOLDAT
_SERGEANT|FELDWEBEL
_COMMANDER|KOMMANDANT
_CAPTAIN|КAPITÄN
_LEAVE_CLAN|KLAN VERLASSEN
_LEAVE_CLAN_CONFIRM|KLAN VERLASSEN (BESTÄTIGEN)
_CANCEL|ABBRECHEN
_FIND_CLAN|FINDE KLAN
_CREATE_CLAN|KLAN ERSTELLEN
_LOOKFOR|FINDEN
_SEARCH|SUCHEN...
_CLAN_NAME|KLAN NAME
_PARTY|GRUPPENMITGLIED
_FOUNDER|BESITZER
_ADMISSION|AUFNAHME
_SUBMISSION_FOR_BID|FÜR KLANEINLADUNG IST LEVEL 10 ERFORDERLICH
_CLAN_NOT_ACCEPT|KLANEINLADUNG GESCHLOSSEN
_APPLY_TO_CLAN|KLANBEITRITTSANFRAGE
_SEND|SENDEN
_IS_OPEN|OFFEN
_IS_CLOSE|GESCHLOSSEN
_SHOW_LAST_CLANS|DIE LETZTEN 25 KLANS SIND ANGEZEIGT
_REBUILD_CLAN|CLAN WIEDERHERSTELLEN
_CREATURE|ERSTELLEN...
_CLAN_CREATION_AVAILABLE|ERSTELLEN EINES KLANS ERFORDERT LEVEL 15
_ATTENTION_NAME|Info: der Name kann nur Zeichen aus dem Russischen und aus dem Englischen Alphabet enthalten<br>es ist erlaubt Zahlen und Symbole zu verwenden '_' '.'<br>Namenslänge: 3 bis 16 Zeichen
_NUMBER_POSTS|NACHRICHTEN ANZAHL:
_RENAME_CLAN|KLAN UMBENENNEN
_CLAN_STATUS|KLAN STATUS
_CLAN_EXPANSION|KLAN ERWEITERUNG
_REMOVE_CLAN|KLAN AUFLÖSEN
_REMOVE_CLAN_CONFIRM|KLAN AUFLÖSUNG BESTÄTIGEN
_AVAILABLE_RENAME|Umbenennungen verfügbar:
_RENAME|UMBENENNEN
_RETURN|ZURÜCK
_CURRENT_STATUS_CLAN_OPEN|Aktueller Klan Status <color=#FF0>offen</color>
_CLAN_TAKES_APPLICATION|Klan akzeptiert Beitrittsanfragen
_CURRENT_STATUS_CLAN_CLOSE|Aktueller Klan Status <color=#FF0>geschlossen</color>
_CLAN_NOT_ACCEPT_APPLICATION|Klan akzeptiert keine Beitrittsanfragen
_CHANGE_STATUS|STATUS ÄNDERN
_CURRENT_NUMBER_SLOTS|Aktuelle Plätze <color=#FF0>
_YOUR_CLAN_MAXIMUM|<color=#0F0>Dein Klan hat die maximalen 200 Plätze erreicht</color>
_SLOTS_AFTER_EXPANSION|Plätze nach Erweiterung
_MAXIMUM_200|(maximum 200)
_COST_OPERATION|Kosten der Durchführung: 50 Münzen
_PLACE_WEAPON_CASE|Wähle 3 Waffen für den Tausch <color=red>(Waffen werden für immer zerstört)</color>, als Ergebnis wirst du eine spezielle Kiste erhalten.
_PLACE_WEAPON_WEAPON|Wähle 3 Waffen für die Aufwertung <color=red>(Waffen werden für immer zerstört)</color>, als Ergebnis wirst du eine modifizierte Waffe erhalten.
_PLACE_CASE_2_COIN|Setze eine Kiste zum verkaufen<color=red>(Kiste wird für immer aus dem Inventar entfernt)</color>, als Ergebnis wirst du 2 Münzen erhalten.
_PLACE_CASE_3_COIN|Setze eine Kiste zum verkaufen<color=red>(Kiste wird für immer aus dem Inventar entfernt)</color>, als Ergebnis wirst du 1 Münzen erhalten.
_PLACE_CASE_1_COIN|Setze eine Kiste zum verkaufen<color=red>(Kiste wird für immer aus dem Inventar entfernt)</color>, als Ergebnis wirst du 1 Münzen erhalten.
_WAITING_SERVER|Warte auf Serverantwort
_START_DISARMAMENT|TAUSCH STARTEN
_START_UPGRADE_NOT|STARTE AUFWERTEN (IN ENTWICKLUNG)
_SALE_WILL_BE|VERKAUF WIRD VERFÜGBAR DURCH
_START_SALE|STARTE VERKAUF
_MAP_SAVED|KARTE GESPEICHERT
_CONSERVATION|SPEICHERE KARTE...
_ENABLE_CHAT|CHAT AKTIVIEREN
_DISABLE_CHAT|CHAT DEAKTIVIEREN
_GAME_MENU|SPIELMENÜ
_BACK_TO_GAME|ZURÜCK ZUM SPIEL
_CHANGE_WEAPON|WAFFE WECHSELN
_SAVE_MAP|KARTE SPEICHERN
_EXIT_MAIN_MENU|GEHE ZURÜCK ZUM HAUPTMENÜ
_SET1|SET 1
_SET2|SET 2
_SET3|SET 3
_PRIMARY|PRIMÄR
_SECONDARY|SEKUNDÄR
_MELEE|NAHKAMPF
_BUILDING_BLOCK|BLOCK
_ADDITIONAL|SPEZIAL
_COIN|Münze
_COINS|Münzen
_VOICE|Stimme
_VOICES|Stimmen
