_GAMENAME|BLOCKPOST
_LANGUAGE_TRANSLATION|MIQUEL
_LANGUAGE_NAME|ESPAÑOL
_BONUS_LEFT|SIGUIENTE BONUS {0}h {1}m
_DAY|DÍA
_COME_EVER_DAY|INGRESE AL JUEGO PARA JUGAR CADA DÍA CON BONIFICACIÓN!
_CONTINUE|CONTINUAR
_COLLECT|COJER
_RECEIVED|HAS RECIBIDO
_REQUIRES_KEY|REQUIERE LLAVE
_GOTO_STORE|IR A TIENDA
_USED_KEY|USAR LLAVE
_OPEN_CASE_EMUL|ABRIR CAJA (EMULADOR)
_OPEN_CASE|ABRIR CAJA
_SOLDIER|SOLDADO
_SERGEANT|SARGENTO
_COMMANDER|COMANDANTE
_CAPTAIN|CAPITAN
_LEAVE_CLAN|ABANDONAR CLAN
_LEAVE_CLAN_CONFIRM|ABANDONAR CLAN (CONFIRMAR)
_CANCEL|CANCELAR
_FIND_CLAN|BUSCAR CLAN
_CREATE_CLAN|CREAR CLAN
_LOOKFOR|BUSCAR
_SEARCH|BUSCAR
_CLAN_NAME|NOMBRE DEL CLAN
_PARTY|JUGADORES
_FOUNDER|PROPIETARIO
_ADMISSION|ADMISIÓN
_SUBMISSION_FOR_BID|PARA RECIBIR UNA INVITACIÓN DE UN CLAN SE REQUIERE NIVEL 10
_CLAN_NOT_ACCEPT|INVITACIONES DEL CLAN CERRADAS
_APPLY_TO_CLAN|SOLICITÚD PARA ENTRAR AL CLAN
_SEND|ENVIAR
_IS_OPEN|ABIERTO
_IS_CLOSE|CERRADO
_SHOW_LAST_CLANS|ÚLTIMOS 25 CLANS MOSTRADOS
_REBUILD_CLAN|RESTAURAR CLAN
_CREATÚRE|CREANDO...
_CLAN_CREATION_AVAILABLE|CREAR UN CLAN REQUIERE NIVEL 15
_ATTENTION_NAME|Nota: el nombre solo puede contener letras rusas o solo el alfabeto inglés. Se le permite usar números y símbolos '_' '.' <br> longitúd mínima de nombre 3 caracteres, máximo 16
_NUMBER_POSTS|CONTADOS DE MENSAJES:
_RENAME_CLAN|RENOMBRAR CLAN
_CLAN_STATÚS|ESTADO DEL CLAN
_CLAN_EXPANSION|CLAN EXPANSION
_REMOVE_CLAN|BORAR CLAN
_REMOVE_CLAN_CONFIRM|BORRAR CLAN (CONFIRMAR)
_AVAILABLE_RENAME|Renombrar cuenta disponible:
