_GAMENAME|BLOCKPOST
_LANGUAGE_TRANSLATION|번역: 스팀유저
_LANGUAGE_NAME|한국어
_BONUS_LEFT|다음 보너스 까지 {0}시 {1}분
_DAY|일
_COME_EVER_DAY|매일 보너스와 함께 게임을 로그인 하세요!
_CONTINUE|계속
_COLLECT|받기
_RECEIVED|받았습니다
_REQUIRES_KEY|키 필요
_GOTO_STORE|상점으로 가기
_USED_KEY|키 사용함
_OPEN_CASE_EMUL|상자 열기 (에뮬레이터)
_OPEN_CASE|상자 열기
_SOLDIER|군인
_SERGEANT|중사
_COMMANDER|사령관
_CAPTAIN|대장
_LEAVE_CLAN|클랜 떠나기
_LEAVE_CLAN_CONFIRM|클랜 떠나기 (확인)
_CANCEL|취소
_FIND_CLAN|클랜 찾기
_CREATE_CLAN|클랜 생성
_LOOKFOR|찾기
_SEARCH|검색...
_CLAN_NAME|클랜 이름
_PARTY|팀원
_FOUNDER|주인
_ADMISSION|입장 유형
_SUBMISSION_FOR_BID|클랜 참여는 레벨 10부터 가능합니다
_CLAN_NOT_ACCEPT|클랜 초대 닫힘
_APPLY_TO_CLAN|클랜 참가 요청
_SEND|보내기
_IS_OPEN|열림
_IS_CLOSE|닫힘
_SHOW_LAST_CLANS|마지막 클랜 25개 표시
_REBUILD_CLAN|클랜 복구
_CREATURE|개설 중...
_CLAN_CREATION_AVAILABLE|클랜 개설은 레벨 15부터 가능합니다
_ATTENTION_NAME|노트: 영어와 러시아어만 입력할 수 있습니다<br>숫자와 '_' '.' 문양도 사용할 수 있습니다<br>최소 3글자, 최대 16글자로 가능합니다
_NUMBER_POSTS|메시지 수:
_RENAME_CLAN|클랜 이름 변경
_CLAN_STATUS|클랜 전적
_CLAN_EXPANSION|클랜 확장
_REMOVE_CLAN|클랜 삭제
_REMOVE_CLAN_CONFIRM|클랜 삭제 (확인)
_AVAILABLE_RENAME|이름 변경권 수:
_RENAME|RENAME
_RETURN|RETURN
_CURRENT_STATUS_CLAN_OPEN|현재 클랜 상태 <color=#FF0>열림</color>
_CLAN_TAKES_APPLICATION|클랜이 구성원을 위한 초대를 받습니다
_CURRENT_STATUS_CLAN_CLOSE|현재 클랜 상태 <color=#FF0>닫힘</color>
_CLAN_NOT_ACCEPT_APPLICATION|클랜이 구성원을 위한 초대를 받지 않습니다
_CHANGE_STATUS|CHANGE STATUS
_CURRENT_NUMBER_SLOTS|현재 슬롯 <color=#FF0>
_YOUR_CLAN_MAXIMUM|<color=#0F0>클랜이 200 슬롯에 도달하였습니다</color>
_SLOTS_AFTER_EXPANSION|슬롯 확장 이후
_MAXIMUM_200|(최대 200)
_COST_OPERATION|Cost operation 50 coin!
_PLACE_WEAPON_CASE|Set 3 weapons for exchange <color=red>(weapons will be destroyed permanently)</color>, in result you will receive a special case.
