_GAMENAME|BLOCKPOST
_LANGUAGE_TRANSLATION|ÇEVİRİ: SİBER MASA EKİBİ - Barış Pazan
_LANGUAGE_NAME|TÜRKÇE
_BONUS_LEFT|SONRAKİ BONUS'A KALAN SÜRE {0}s {1}d
_DAY|GÜN
_COME_EVER_DAY|HER GÜN OYUNA GİRİŞ YAPARAK BONUS KAZAN!
_CONTINUE|DEVAM ET
_COLLECT|TOPLA
_RECEIVED|KURTARILDINIZ
_REQUIRES_KEY|ANAHTAR GEREKLİ
_GOTO_STORE|MAĞAZAYA GİT
_USED_KEY|USED KEY
_OPEN_CASE_EMUL|KUTUYU AÇ (EMÜLATÖR)
_OPEN_CASE|KUTUYU AÇ
_SOLDIER|ASKER
_SERGEANT|ÇAVUŞ
_COMMANDER|KOMUTAN
_CAPTAIN|KAPTAN
_LEAVE_CLAN|KLANI TERKET
_LEAVE_CLAN_CONFIRM|KLANI TERKET (ONAYLA)
_CANCEL|İPTAL
_FIND_CLAN|KLAN ARA
_CREATE_CLAN|KLAN OLUŞTUR
_LOOKFOR|BUL
_SEARCH|ARANIYOR...
_CLAN_NAME|KLAN İSMİ
_PARTY|OYUNCU SAYISI
_FOUNDER|SAHİP
_ADMISSION|KABUL
_SUBMISSION_FOR_BID|KLANA KATILMAK İÇİN 10 LEVEL GEREKLİ
_CLAN_NOT_ACCEPT|KLAN DAVET KAPALI
_APPLY_TO_CLAN|KLANA KATILMA İSTEĞİ GÖNDER
_SEND|GÖNDER
_IS_OPEN|AÇILDI
_IS_CLOSE|KAPANDI
_SHOW_LAST_CLANS|SON 25 KLANI GÖSTER
_REBUILD_CLAN|KLANI DÜZENLE
_CREATURE|OLUŞTURULUYOR...
_CLAN_CREATION_AVAILABLE|KLAN OLUŞTURMAK İÇİN 15 LEVEL GEREKLİ
_ATTENTION_NAME|Not: İsim sadece Rusça alfabesi veya sadece İngilizce alfabesi içerebilir. Sayılar ve semboller kullanmasına izin verilir '_' '.' <br> minimum isim uzunluğu 3 karakter, maksimum 16 olmalıdır.
_NUMBER_POSTS|MESAJ SAYISI:
_RENAME_CLAN|KLANIN ADINI DEĞİŞTİR
_CLAN_STATUS|KLAN DURUMU
_CLAN_EXPANSION|KLAN KAPASİTESİ
_REMOVE_CLAN|KLANI SİL
